ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2024;51;5;Ensino Médio;1;Até 14 Horas;1759,004769151787;1,57206752413038e+02
2024;52;5;Ensino Médio;1;Até 14 Horas;1755,519044497791;1,78836201345909e+02
2024;53;5;Ensino Médio;1;Até 14 Horas;3428,777214798866;9,50340280555064e+02
2024;11;6;Ensino Superior;1;Até 14 Horas;1468,297953380526;2,01940344892801e+01
2024;12;6;Ensino Superior;1;Até 14 Horas;796,731101621848;5,70877868531846e+02
2024;13;6;Ensino Superior;1;Até 14 Horas;1301,480615923393;3,45547793860975e+02
2024;14;6;Ensino Superior;1;Até 14 Horas;1495,075146692287;8,46539031002504e+02
2024;15;6;Ensino Superior;1;Até 14 Horas;1266,907418478870;3,42656590021691e+02
2024;17;6;Ensino Superior;1;Até 14 Horas;3474,284210445318;1,94804661784252e+03
2024;21;6;Ensino Superior;1;Até 14 Horas;1230,268183748302;2,24629628736255e+02
2024;22;6;Ensino Superior;1;Até 14 Horas;1509,200208573369;3,97423735781418e+02
2024;23;6;Ensino Superior;1;Até 14 Horas;1066,795090641803;2,21415543859270e+02
2024;24;6;Ensino Superior;1;Até 14 Horas;1815,454658861561;3,14009280849375e+02
2024;25;6;Ensino Superior;1;Até 14 Horas;1097,456722207641;3,84988297762226e+02
2024;26;6;Ensino Superior;1;Até 14 Horas;2477,180576450609;7,97149059563269e+02
2024;27;6;Ensino Superior;1;Até 14 Horas;1350,057507138072;3,07118981110252e+02
2024;28;6;Ensino Superior;1;Até 14 Horas;708,309153772852;2,19013943241336e+02
2024;29;6;Ensino Superior;1;Até 14 Horas;1633,461618480397;4,49639698051307e+02
2024;31;6;Ensino Superior;1;Até 14 Horas;2304,333606825193;4,19486870531237e+02
2024;32;6;Ensino Superior;1;Até 14 Horas;1499,003566519068;2,97000282662198e+02
2024;33;6;Ensino Superior;1;Até 14 Horas;1522,196807646305;2,50795647930168e+02
2024;35;6;Ensino Superior;1;Até 14 Horas;3721,299421753957;1,00974815612336e+03
2024;41;6;Ensino Superior;1;Até 14 Horas;2968,317830601969;6,31747843319141e+02
2024;42;6;Ensino Superior;1;Até 14 Horas;1400,025511300008;2,41836616937859e+02
2024;43;6;Ensino Superior;1;Até 14 Horas;2701,411799011372;3,31227008135610e+02
2024;50;6;Ensino Superior;1;Até 14 Horas;2257,813656149136;5,62413677397169e+02
2024;51;6;Ensino Superior;1;Até 14 Horas;1807,149214332375;5,21230197266423e+02
2024;52;6;Ensino Superior;1;Até 14 Horas;2660,176003193729;4,36730962437596e+02
2024;53;6;Ensino Superior;1;Até 14 Horas;4252,816223825474;1,53492588523619e+03
2024;11;7;Ensino Superior;1;Até 14 Horas;3783,303117057785;9,00330527128498e+02
2024;12;7;Ensino Superior;1;Até 14 Horas;3686,882197891837;5,48321820736310e+02
2024;13;7;Ensino Superior;1;Até 14 Horas;2797,345537562721;6,18007894446276e+02
2024;14;7;Ensino Superior;1;Até 14 Horas;4331,573743850875;8,81733359553576e+02
2024;15;7;Ensino Superior;1;Até 14 Horas;4229,146392216942;6,14494068400104e+02
2024;16;7;Ensino Superior;1;Até 14 Horas;5331,340487712005;1,75671525757468e+03
2024;17;7;Ensino Superior;1;Até 14 Horas;4784,090854002385;7,66616818034118e+02
2024;21;7;Ensino Superior;1;Até 14 Horas;2785,589178461196;3,84890249186653e+02
2024;22;7;Ensino Superior;1;Até 14 Horas;4061,771725582279;9,93912537033937e+02
2024;23;7;Ensino Superior;1;Até 14 Horas;3052,477561356020;3,95804022207482e+02
2024;24;7;Ensino Superior;1;Até 14 Horas;5423,503510015977;1,24205460443952e+03
2024;25;7;Ensino Superior;1;Até 14 Horas;4229,654779029017;7,59630909206112e+02
2024;26;7;Ensino Superior;1;Até 14 Horas;4251,431074764605;6,23441220060826e+02
2024;27;7;Ensino Superior;1;Até 14 Horas;4201,020087407140;1,43203608756845e+03
2024;28;7;Ensino Superior;1;Até 14 Horas;3940,892023808486;7,45932678191114e+02
2024;29;7;Ensino Superior;1;Até 14 Horas;3369,499316517481;4,13244885291789e+02
2024;31;7;Ensino Superior;1;Até 14 Horas;4875,968295108040;4,74748269967319e+02
2024;32;7;Ensino Superior;1;Até 14 Horas;4957,855083227430;7,46020687155605e+02
2024;33;7;Ensino Superior;1;Até 14 Horas;5046,766064432868;3,98738382400227e+02
2024;35;7;Ensino Superior;1;Até 14 Horas;5252,524458036821;4,39727924609347e+02
2024;41;7;Ensino Superior;1;Até 14 Horas;4343,091042105071;4,40971469982943e+02
2024;42;7;Ensino Superior;1;Até 14 Horas;5320,263264899718;6,32182645209513e+02
2024;43;7;Ensino Superior;1;Até 14 Horas;4427,768998706440;3,12484728806372e+02
2024;50;7;Ensino Superior;1;Até 14 Horas;4196,863852196018;5,63289676691945e+02
2024;51;7;Ensino Superior;1;Até 14 Horas;4292,617364626548;5,82370218500296e+02
2024;52;7;Ensino Superior;1;Até 14 Horas;4564,294942595439;6,45606163349737e+02
2024;53;7;Ensino Superior;1;Até 14 Horas;9283,845441142928;1,24512003062118e+03
2024;11;1;Sem Instrução Formal;2;15 até 39 Horas;1653,623821965345;1,82317160911879e+02
2024;12;1;Sem Instrução Formal;2;15 até 39 Horas;1440,601571623702;3,84067520226315e+02
2024;13;1;Sem Instrução Formal;2;15 até 39 Horas;964,504676166690;1,32876311294606e+02
2024;14;1;Sem Instrução Formal;2;15 até 39 Horas;1953,412666549446;8,56382482312180e+02
2024;15;1;Sem Instrução Formal;2;15 até 39 Horas;897,672146850120;1,07008629438917e+02
2024;16;1;Sem Instrução Formal;2;15 até 39 Horas;1218,445792636486;6,18823261597147e+02
2024;17;1;Sem Instrução Formal;2;15 até 39 Horas;928,880162025017;2,19493825352639e+02
2024;21;1;Sem Instrução Formal;2;15 até 39 Horas;583,942211742203;4,75176248679483e+01
2024;22;1;Sem Instrução Formal;2;15 até 39 Horas;561,659626485640;7,45594832164092e+01
2024;23;1;Sem Instrução Formal;2;15 até 39 Horas;568,387047250166;4,86866104824224e+01
2024;24;1;Sem Instrução Formal;2;15 até 39 Horas;912,748242413752;1,46071050358737e+02
2024;25;1;Sem Instrução Formal;2;15 até 39 Horas;713,196699576791;7,22379477666722e+01
2024;26;1;Sem Instrução Formal;2;15 até 39 Horas;688,004296145582;6,25146335522694e+01
2024;27;1;Sem Instrução Formal;2;15 até 39 Horas;819,154616782603;5,06758058431852e+01
2024;28;1;Sem Instrução Formal;2;15 até 39 Horas;758,110988457256;8,54511187132815e+01
2024;29;1;Sem Instrução Formal;2;15 até 39 Horas;687,103130223499;5,64038221625461e+01
2024;31;1;Sem Instrução Formal;2;15 até 39 Horas;1601,982659319944;3,86696081981705e+02
2024;32;1;Sem Instrução Formal;2;15 até 39 Horas;1060,963026980881;1,78330059759833e+02
2024;33;1;Sem Instrução Formal;2;15 até 39 Horas;1474,469182705517;2,53439893165031e+02
2024;35;1;Sem Instrução Formal;2;15 até 39 Horas;1771,877973328099;2,25719378033961e+02
2024;41;1;Sem Instrução Formal;2;15 até 39 Horas;1212,858739726194;1,16102529201953e+02
2024;42;1;Sem Instrução Formal;2;15 até 39 Horas;1885,882156131324;4,63768972378711e+02
2024;43;1;Sem Instrução Formal;2;15 até 39 Horas;1099,300311873999;1,74668329073430e+02
2024;50;1;Sem Instrução Formal;2;15 até 39 Horas;1010,328871617608;1,00285886601563e+02
2024;51;1;Sem Instrução Formal;2;15 até 39 Horas;1496,148055801583;3,30874457234304e+02
2024;52;1;Sem Instrução Formal;2;15 até 39 Horas;1141,323428824061;2,48824639737121e+02
2024;53;1;Sem Instrução Formal;2;15 até 39 Horas;1302,347151302427;2,65244377798389e+02
2024;11;2;Ensino Fundamental;2;15 até 39 Horas;1815,115043376155;1,65616155495301e+02
2024;12;2;Ensino Fundamental;2;15 até 39 Horas;1003,074223833947;6,33337353728611e+01
2024;13;2;Ensino Fundamental;2;15 até 39 Horas;869,632936638131;4,57024673640327e+01
2024;14;2;Ensino Fundamental;2;15 até 39 Horas;1871,235009679687;5,96863655555573e+02
2024;15;2;Ensino Fundamental;2;15 até 39 Horas;1040,118848930385;4,73659417455817e+01
2024;16;2;Ensino Fundamental;2;15 até 39 Horas;1046,842390697138;8,96227138165063e+01
2024;17;2;Ensino Fundamental;2;15 até 39 Horas;1152,767720888731;1,53750306038387e+02
2024;21;2;Ensino Fundamental;2;15 até 39 Horas;769,959347364556;3,73376667900669e+01
2024;22;2;Ensino Fundamental;2;15 até 39 Horas;908,685552258712;8,80183691782145e+01
2024;23;2;Ensino Fundamental;2;15 até 39 Horas;738,309200880661;4,00423035624841e+01
2024;24;2;Ensino Fundamental;2;15 até 39 Horas;837,277764285591;5,84357077900094e+01
2024;25;2;Ensino Fundamental;2;15 até 39 Horas;781,873440561834;3,82500762774207e+01
2024;26;2;Ensino Fundamental;2;15 até 39 Horas;859,334130721272;4,65192932376078e+01
2024;27;2;Ensino Fundamental;2;15 até 39 Horas;1065,628626162021;1,21141540494259e+02
2024;28;2;Ensino Fundamental;2;15 até 39 Horas;890,898411929078;4,54973767746090e+01
2024;29;2;Ensino Fundamental;2;15 até 39 Horas;949,901261126301;7,00499894604677e+01
2024;31;2;Ensino Fundamental;2;15 até 39 Horas;1375,926204430108;4,66513617706777e+01
2024;32;2;Ensino Fundamental;2;15 até 39 Horas;1407,870159614293;1,02783210202421e+02
2024;33;2;Ensino Fundamental;2;15 até 39 Horas;1271,787185618787;5,57175455418651e+01
2024;35;2;Ensino Fundamental;2;15 até 39 Horas;1523,122495531377;6,26739831872811e+01
2024;41;2;Ensino Fundamental;2;15 até 39 Horas;1557,634652202484;1,43539284051629e+02
2024;42;2;Ensino Fundamental;2;15 até 39 Horas;1735,155741344658;1,73254421226369e+02
2024;43;2;Ensino Fundamental;2;15 até 39 Horas;1513,610301648435;8,71165292352670e+01
2024;50;2;Ensino Fundamental;2;15 até 39 Horas;1326,975863587757;9,47751565463197e+01
2024;51;2;Ensino Fundamental;2;15 até 39 Horas;1862,854991125137;1,74580307295190e+02
2024;52;2;Ensino Fundamental;2;15 até 39 Horas;1505,822931160505;1,00270664770677e+02
2024;53;2;Ensino Fundamental;2;15 até 39 Horas;1368,961428777008;7,47912615039869e+01
2024;11;3;Ensino Fundamental;2;15 até 39 Horas;1478,475161146447;1,58150176249497e+02
2024;12;3;Ensino Fundamental;2;15 até 39 Horas;1116,502044364139;1,38633318507906e+02
2024;13;3;Ensino Fundamental;2;15 até 39 Horas;898,547832640283;9,57958457399937e+01
2024;14;3;Ensino Fundamental;2;15 até 39 Horas;1141,167404521121;1,11625922447145e+02
2024;15;3;Ensino Fundamental;2;15 até 39 Horas;1151,000481690930;1,08824700357738e+02
2024;16;3;Ensino Fundamental;2;15 até 39 Horas;1198,041421642101;1,16429272716309e+02
2024;17;3;Ensino Fundamental;2;15 até 39 Horas;1193,807024909711;1,57035215039576e+02
2024;21;3;Ensino Fundamental;2;15 até 39 Horas;843,756587008041;4,64394694472342e+01
2024;22;3;Ensino Fundamental;2;15 até 39 Horas;1129,331831955818;1,64625229919680e+02
2024;23;3;Ensino Fundamental;2;15 até 39 Horas;774,070943700733;7,51083825725112e+01
