ano;UF;escolaridade;escolaridade_adj;renda_bruta_1_Até 14 Horas;renda_bruta_2_15 até 39 Horas;renda_bruta_3_40 até 44 Horas;renda_bruta_4_44 até 48 Horas;renda_bruta_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;11;4;Ensino Médio;859,554504060115;1237,849382020779;2643,775142829352;3077,063569954420;3067,426117703084;4,94367765233518e+02;144,9418292221365;346,3090590570179;6,76188479569705e+02;5,90669848792144e+02
2024;12;4;Ensino Médio;866,534445629967;1048,501290836070;1695,234446411976;1791,534386493552;1999,682978033818;3,20942946014203e+02;125,1391099078097;70,0974518889149;3,05644391242232e+02;4,20566108579004e+02
2024;13;4;Ensino Médio;298,919275515747;839,335613421071;1457,926113941021;1425,469916781919;2141,347788088994;5,82736257713994e+01;55,8557661417287;91,8633848652083;2,43481876549065e+02;4,09154276439997e+02
2024;14;4;Ensino Médio;906,648822615818;1225,893086123915;1660,555440471151;1705,311887726338;1010,585301915360;2,84871646456413e+02;338,9848476982366;140,4492858697381;1,64196256523798e+02;3,06245705203500e+02
2024;15;4;Ensino Médio;1206,369301024518;866,183996858249;1647,246596287383;1787,234683200151;2759,696587854326;5,87044575282752e+02;60,1693589337027;119,9833669552244;1,97675662041580e+02;7,15248634491106e+02
2024;16;4;Ensino Médio;250,000000000000;1301,452521092267;1912,033977410167;1814,796352413452;2348,413753448038;9,87027556516124e-15;336,4047941153427;219,6731734914763;2,51611894106648e+02;5,85314827926071e+02
2024;17;4;Ensino Médio;625,956520057554;1282,231879152765;1710,412833285547;2106,683326407406;1951,534714267777;2,78033637068299e+02;242,2988148408340;89,8941075556853;2,28322605326998e+02;3,31850716957980e+02
2024;21;4;Ensino Médio;398,919705652966;725,831985465967;1560,988307778417;1420,327737748088;2040,209582913691;8,93442862424526e+01;45,8998712628590;106,3206060238293;1,32823519143474e+02;3,67064900525968e+02
2024;22;4;Ensino Médio;549,922065877563;767,589560182354;1651,952595160803;1405,743318295828;1444,916115910869;1,29565723006653e+02;71,2514286202325;148,4973032272148;1,88231932419970e+02;2,72262125852773e+02
2024;23;4;Ensino Médio;323,506352150134;758,208696086260;1547,966755370458;1521,114910849178;1947,288174587335;5,90789616117437e+01;61,6688850290125;85,7042738539597;1,93468238385524e+02;3,10876519900398e+02
2024;24;4;Ensino Médio;1252,684363335113;1060,901851662553;1481,547012143642;3416,472026888016;3210,071290374664;7,89823883222683e+02;126,4497151954144;78,5146798076923;1,84487842337057e+03;1,36829202308759e+03
2024;25;4;Ensino Médio;388,298607375677;1072,454519327360;1376,970109003054;1933,187138322848;2144,701628121103;1,11163575453763e+02;194,9557164619719;71,9938718475187;5,03701117698833e+02;2,93341660747689e+02
