ano;UF;escolaridade;escolaridade_adj;horas_trabalhadas;faixa_horas_trabalhadas;renda_bruta;se
2024;22;7;Ensino Superior;1;Até 14 Horas;1453,930202506316;3,53994663001737e+02
2024;23;7;Ensino Superior;1;Até 14 Horas;1562,063725181479;2,72662347314332e+02
2024;24;7;Ensino Superior;1;Até 14 Horas;3403,289228751608;9,21491189909914e+02
2024;25;7;Ensino Superior;1;Até 14 Horas;3283,402057424084;1,49589174018782e+03
2024;26;7;Ensino Superior;1;Até 14 Horas;3860,492776761199;1,23479210876078e+03
2024;27;7;Ensino Superior;1;Até 14 Horas;1943,691395810491;1,03812933068390e+03
2024;28;7;Ensino Superior;1;Até 14 Horas;2563,179007556471;1,21592456529539e+03
2024;29;7;Ensino Superior;1;Até 14 Horas;2287,541870621131;7,05376791518211e+02
2024;31;7;Ensino Superior;1;Até 14 Horas;2608,179984663051;5,44611734357798e+02
2024;32;7;Ensino Superior;1;Até 14 Horas;3774,488574810678;8,68417674097973e+02
2024;33;7;Ensino Superior;1;Até 14 Horas;2551,208922912705;2,75250768756595e+02
2024;35;7;Ensino Superior;1;Até 14 Horas;3223,011459063188;3,79572608668346e+02
2024;41;7;Ensino Superior;1;Até 14 Horas;2517,723604776382;3,94601311126244e+02
2024;42;7;Ensino Superior;1;Até 14 Horas;2909,417186584931;5,12253190057673e+02
2024;43;7;Ensino Superior;1;Até 14 Horas;2959,395655962159;4,86121533382130e+02
2024;50;7;Ensino Superior;1;Até 14 Horas;1969,907445576627;6,03330347080246e+02
2024;51;7;Ensino Superior;1;Até 14 Horas;2152,870974507637;5,05698699943394e+02
2024;52;7;Ensino Superior;1;Até 14 Horas;3489,531572223522;9,51095466262476e+02
2024;53;7;Ensino Superior;1;Até 14 Horas;2921,316863539212;8,02446570591060e+02
2024;11;1;Sem Instrução Formal;2;15 até 39 Horas;1670,063867127252;1,99697651693730e+02
2024;12;1;Sem Instrução Formal;2;15 até 39 Horas;1340,952986440654;3,93184217729746e+02
2024;13;1;Sem Instrução Formal;2;15 até 39 Horas;924,035395882694;1,29965086159274e+02
2024;14;1;Sem Instrução Formal;2;15 até 39 Horas;1158,917460014557;5,69259544999964e+02
2024;15;1;Sem Instrução Formal;2;15 até 39 Horas;899,294433267180;9,82003613806457e+01
2024;16;1;Sem Instrução Formal;2;15 até 39 Horas;1217,388379921118;5,95055748095071e+02
2024;17;1;Sem Instrução Formal;2;15 até 39 Horas;663,179821147490;1,71729327641143e+02
2024;21;1;Sem Instrução Formal;2;15 até 39 Horas;594,969420506221;5,53678754947290e+01
2024;22;1;Sem Instrução Formal;2;15 até 39 Horas;548,734689877003;6,85928388108401e+01
2024;23;1;Sem Instrução Formal;2;15 até 39 Horas;577,637748509085;5,06198645997252e+01
2024;24;1;Sem Instrução Formal;2;15 até 39 Horas;907,777107662453;1,49826982064856e+02
2024;25;1;Sem Instrução Formal;2;15 até 39 Horas;719,163408126543;6,80526221825225e+01
2024;26;1;Sem Instrução Formal;2;15 até 39 Horas;678,173159405598;6,69825381587772e+01
2024;27;1;Sem Instrução Formal;2;15 até 39 Horas;813,236129372984;4,86199137929505e+01
2024;28;1;Sem Instrução Formal;2;15 até 39 Horas;718,564765677685;9,28996589118923e+01
2024;29;1;Sem Instrução Formal;2;15 até 39 Horas;721,628949385685;7,19437208555076e+01
2024;31;1;Sem Instrução Formal;2;15 até 39 Horas;1521,765620720987;4,18126959912427e+02
2024;32;1;Sem Instrução Formal;2;15 até 39 Horas;900,551200324394;1,32815850046988e+02
2024;33;1;Sem Instrução Formal;2;15 até 39 Horas;1476,378317000314;2,69313216763885e+02
2024;35;1;Sem Instrução Formal;2;15 até 39 Horas;1659,424413191770;2,52569802032585e+02
2024;41;1;Sem Instrução Formal;2;15 até 39 Horas;1232,104937688097;1,12350001479061e+02
2024;42;1;Sem Instrução Formal;2;15 até 39 Horas;1885,882156131324;4,63768972378711e+02
2024;43;1;Sem Instrução Formal;2;15 até 39 Horas;906,562185545761;1,27441277665214e+02
2024;50;1;Sem Instrução Formal;2;15 até 39 Horas;957,103117827891;8,87423728936377e+01
2024;51;1;Sem Instrução Formal;2;15 até 39 Horas;1163,563752034351;3,04933129897033e+02
2024;52;1;Sem Instrução Formal;2;15 até 39 Horas;1153,714773111320;3,08830535768483e+02
2024;53;1;Sem Instrução Formal;2;15 até 39 Horas;1411,000722437406;3,76112209992601e+02
2024;11;2;Ensino Fundamental;2;15 até 39 Horas;1804,474620937873;1,72278539674546e+02
2024;12;2;Ensino Fundamental;2;15 até 39 Horas;954,063855479281;6,41709434850315e+01
2024;13;2;Ensino Fundamental;2;15 até 39 Horas;828,201844508566;4,07201116153743e+01
2024;14;2;Ensino Fundamental;2;15 até 39 Horas;1940,473975522980;7,20127863749811e+02
2024;15;2;Ensino Fundamental;2;15 até 39 Horas;923,848194708959;4,36639431357118e+01
2024;16;2;Ensino Fundamental;2;15 até 39 Horas;1017,854303367654;8,47145374548500e+01
2024;17;2;Ensino Fundamental;2;15 até 39 Horas;1067,754210591691;1,55195989120719e+02
2024;21;2;Ensino Fundamental;2;15 até 39 Horas;727,058279241702;3,04772835547501e+01
2024;22;2;Ensino Fundamental;2;15 até 39 Horas;800,799388412561;8,07530905226917e+01
2024;23;2;Ensino Fundamental;2;15 até 39 Horas;686,393949364915;3,81785725866008e+01
2024;24;2;Ensino Fundamental;2;15 até 39 Horas;799,813329643223;5,65629496189227e+01
2024;25;2;Ensino Fundamental;2;15 até 39 Horas;775,130876258670;3,78525391850100e+01
2024;26;2;Ensino Fundamental;2;15 até 39 Horas;820,550859633792;4,35560084479567e+01
2024;27;2;Ensino Fundamental;2;15 até 39 Horas;1004,774452261628;1,20633810662196e+02
2024;28;2;Ensino Fundamental;2;15 até 39 Horas;850,642090322496;4,63963076221159e+01
